INVOICE NO,DATE,ITEM,MODEL,PART NO,ENGLISH NAME,SPANISH DESCRIPTION,HTS,PROSEC,RB,QTY,UM,NETWEIGHT,UNIT PRICE,TOTAL AMOUNT,REGIMEN
25CFTT179202-6,"Apr-12th,2026",37,CM1000UZ-8LK,5HYV-131100-6000-20,Backrest Cover,PARTE PARA ASIENTO,9401999901,,1931R826031342,210,PZA,1,1.63,342.3,IN
25CFTT179202-6,"Apr-12th,2026",38,CM1000UZ-8LK,5HYV-131100-6001-22,Backrest Shell,PARTE PARA ASIENTO,9401999901,,1931R826031342,200,PZA,1,1.31,262,IN
25CFTT179202-6,"Apr-12th,2026",39,CM1000UZ-8LK,5HYV-131200-6000-20,Seat Pan Cover,PARTE PARA ASIENTO,9401999901,,1931R826031342,210,PZA,1,1.52,319.2,IN
25CFTT179202-6,"Apr-12th,2026",40,CM1000UZ-8LK,5HYV-131200-6001-22,Seat Base Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,200,PZA,1,1.58,316,IN
25CFTT179202-6,"Apr-12th,2026",41,CM1000UZ-8LK,5HYV-131310-6000-20-H1,Frame Upper Cross Bar,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,1,0.21,45.36,IN
25CFTT179202-6,"Apr-12th,2026",42,CM1000UZ-8LK,5HYV-131310-6000-21-H1,Backrest Enhencement Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,1,0.13,28.08,IN
25CFTT179202-6,"Apr-12th,2026",43,CM1000UZ-8LK,5HYV-131310-6000-22-H1,5HYV Frame Low Cross Bar,PARTES PARA AUTO,9401999901,,1931R826031342,216,PZA,0.22,0.21,45.36,IN
25CFTT179202-6,"Apr-12th,2026",44,CM1000UZ-8LK,5HYV-131312-6000-H1,Backrest Cross Bar,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,1,0.32,69.12,IN
25CFTT179202-6,"Apr-12th,2026",45,CM1000UZ-8LK,5HYV-131315-6000-H1,Seat base Front,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,1,0.39,84.24,IN
25CFTT179202-6,"Apr-12th,2026",46,CM1000UZ-8LK,5HYV-131318-6001-H1,Left Support tube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,1.67,180.36,IN
25CFTT179202-6,"Apr-12th,2026",47,CM1000UZ-8LK,5HYV-131320-6001-H1,Right Support Tube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,1.67,180.36,IN
25CFTT179202-6,"Apr-12th,2026",48,CM1000UZ-8LK,5HYV-131321-6000,5HYV Seatbase Slide Unlock Handle,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.62,66.96,IN
25CFTT179202-6,"Apr-12th,2026",49,CM1000UZ-8LK,5HYV-132000-6000-20,Passenger Seat Cover,PARTE PARA ASIENTO,9401999901,,1931R826031342,180,PZA,1,2.02,363.6,IN
25CFTT179202-6,"Apr-12th,2026",50,CM1000UZ-8LK,5HYV-132000-6000-21,Passenger Seat base,PARTE PARA ASIENTO,9401999901,,1931R826031342,180,PZA,1,2.17,390.6,IN
25CFTT179202-6,"Apr-12th,2026",51,CM1000UZ-8LK,5HYV-133000-4500-21,5HYV Passenger Seatback Top inside Bracket,PARTES PARA AUTO,9401999901,,1931R826031342,432,PZA,0.72,0.15,64.8,IN
25CFTT179202-6,"Apr-12th,2026",52,CM1000UZ-8LK,5HYV-133000-6000-20,Passenger Seat Back Cover,PARTE PARA ASIENTO,9401999901,,1931R826031342,210,PZA,1,1.49,312.9,IN
25CFTT179202-6,"Apr-12th,2026",53,CM1000UZ-8LK,5HYV-133000-6001-21,Passenger Seat Back Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,200,PZA,0.743,1.22,244,IN
25CFTT179202-6,"Apr-12th,2026",54,CM1000UZ-8LK,5HYV-134000-4500-22,Sub-Master Screw M6x104,PERNO,7318159999,,1931R825050602,108,PZA,0.004,0.19,20.52,IN
25CFTT179202-6,"Apr-12th,2026",55,CM1000UZ-8LK,5HYV-134000-6000-22,Mid-Seat Backtrest plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,80,PZA,1,0.77,61.6,IN
25CFTT179202-6,"Apr-12th,2026",56,CM1000UZ-8LK,5HYV-134000-6001-40,Plastic washer M8x16x1.0,ARANDELA,3926909999,,1931R826001276,216,PZA,0.001,0.02,4.32,IN
25CFTT179202-6,"Apr-12th,2026",57,CM1000UZ-8LK,5HYV-135000-4500-21,"""5HYV Seat Backrest Slide left""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,1.98,213.84,IN
25CFTT179202-6,"Apr-12th,2026",58,CM1000UZ-8LK,5HYV-135000-4500-22,"""5HYV Seat Backrest Slide Right""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,1.98,213.84,IN
25CFTT179202-6,"Apr-12th,2026",59,CM1000UZ-8LK,5HYV-135000-4500-23,M5 Nylon Nut Black Zinc,TUERCA,7318160603,,1931R825050547,216,PZA,0.001,0.01,2.16,IN
25CFTT179202-6,"Apr-12th,2026",60,CM1000UZ-8LK,5HYV-135000-4500-24,Washer M8x18x2.0,ARANDELA DE ACERO,7318229199,,1931R825050385,432,PZA,0.001,0.01,4.32,IN
25CFTT179202-6,"Apr-12th,2026",61,CM1000UZ-8LK,5HYV-135000-4500-25,M8x35 Column Top Screw 10.9 Level,PERNO,7318159999,,1931R825050602,432,PZA,0.004,0.04,17.28,IN
25CFTT179202-6,"Apr-12th,2026",62,CM1000UZ-8LK,5HYV-135000-4500-29,A-shape Clip,CLIP,3926909906,,1931R826001314,864,PZA,0.001,0.03,25.92,IN
25CFTT179202-6,"Apr-12th,2026",63,CM1000UZ-8LK,5HYV-155200-5300-M1,SOUND ASSY,ALTAVOCES,8518220299,,1931R825056909,9,PZA,1.58,84.55,760.95,IN
25CFTT179202-6,"Apr-12th,2026",64,CM1000UZ-8LK,5HYV-160210-6000,LH TAIL LIGHT ASSY,CALAVERA,8512200200,,1931R826001518,108,PZA,0.45,18.02,1946.16,IN
25CFTT179202-6,"Apr-12th,2026",65,CM1000UZ-8LK,5SYV-131120-8000,Support Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,0.9,97.2,IN
25CFTT179202-6,"Apr-12th,2026",66,CM1000UZ-8LK,5SYV-132100-8000-21-H1,Side Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,1,0.58,125.28,IN
25CFTT179202-6,"Apr-12th,2026",67,CM1000UZ-8LK,5SYV-134000-2600-20,5SYA Mid-backrest Elbow Pipe,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.172,0.65,70.2,IN
25CFTT179202-6,"Apr-12th,2026",68,CM1000UZ-8LK,5SYV-134000-2600-21,5SYA Front Middle Seat Back Left L-shape Steel,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.26,28.08,IN
25CFTT179202-6,"Apr-12th,2026",69,CM1000UZ-8LK,5SYV-134000-2600-22,5SYA Front Middle Seat BackRight L-shape Steel,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.26,28.08,IN
25CFTT179202-6,"Apr-12th,2026",70,CM1000UZ-8LK,5SYV-134000-2600-23,5SYA Mid-Backrest round steel A,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.51,55.08,IN
25CFTT179202-6,"Apr-12th,2026",71,CM1000UZ-8LK,5SYV-134000-2600-24,5SYA Mid-Backrest round steel B,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.53,57.24,IN
25CFTT179202-6,"Apr-12th,2026",72,CM1000UZ-8LK,5SYV-134000-2600-25,5SYA Middle Seat Back Cup Holder Positionning Front,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.14,15.12,IN
25CFTT179202-6,"Apr-12th,2026",73,CM1000UZ-8LK,5SYV-134000-2600-26,5SYA Middle Seatback Cup Holder Positionning Rear,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.13,14.04,IN
25CFTT179202-6,"Apr-12th,2026",74,CM1000UZ-8LK,5SYV-134000-2600-27,"""5SYA Mid-backrest Rotating Parts left""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.1,0.04,4.32,IN
25CFTT179202-6,"Apr-12th,2026",75,CM1000UZ-8LK,5SYV-134000-2600-28,"""5SYA Mid-backrest Rotating Parts right""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.1,0.04,4.32,IN
25CFTT179202-6,"Apr-12th,2026",76,CM1000UZ-8LK,5SYV-134000-2600-29,Column Top Step Screw M6x115,TORNILLO,7318159904,,1931R825050534,216,PZA,0.008,0.05,10.8,IN
25CFTT179202-6,"Apr-12th,2026",77,CM1000UZ-8LK,5SYV-134000-2600-30,Column Top Step Screw M8x13,TORNILLO,7318159905,,1931R825050616,216,PZA,0.008,0.06,12.96,IN
25CFTT179202-6,"Apr-12th,2026",78,CM1000UZ-8LK,5SYV-134100-8001-21-H1,left Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,0.49,52.92,IN
25CFTT179202-6,"Apr-12th,2026",79,CM1000UZ-8LK,5SYV-134100-8001-22-H1,Cross Bar,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,0.23,24.84,IN
25CFTT179202-6,"Apr-12th,2026",80,CM1000UZ-8LK,5SYV-134100-8001-23-H1,Right Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,0.49,52.92,IN
25CFTT179202-6,"Apr-12th,2026",81,CM1000UZ-8LK,5SYV-134100-8001-24-H1,lower installation Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,0.55,59.4,IN
25CFTT179202-6,"Apr-12th,2026",82,CM1000UZ-8LK,5SYV-135000-2600-20,5SYA Passenger Seatback top bracket welded parts,PARTES PARA AUTO,9401999901,,1931R826031342,216,PZA,0.17,0.11,23.76,IN
25CFTT179202-6,"Apr-12th,2026",83,CM1000UZ-8LK,5SYV-135000-2600-21,"""5SYA Passenger Seatback bottom bracket sheet metal left""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.05,5.4,IN
25CFTT179202-6,"Apr-12th,2026",84,CM1000UZ-8LK,5SYV-135000-2600-22,"""5SYA Passenger Seatback bottom bracket sheet metal right""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.23,0.05,5.4,IN
25CFTT179202-6,"Apr-12th,2026",85,CM1000UZ-8LK,5SYV-135100-8000-21-H1,Left Support tube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,0.86,92.88,IN
25CFTT179202-6,"Apr-12th,2026",86,CM1000UZ-8LK,5SYV-135100-8000-23-H1,Right Side SupportTube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1,0.86,92.88,IN
25CFTT179202-6,"Apr-12th,2026",87,CM1000UZ-8LK,5SYV-150100-2500,MAIN CABLE,ARNES PARA USO AUTOMOTRIZ,8544309901,Ex. Excepto: Arneses reconocibles como diseñados exclusivamente para uso automotriz.,1931R825057868,48,PZA,26.85,258.04,12385.92,IN
