Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
3471|5600861|160|8|ENDO ESTA LA CUARTA OPERACION DE LA QUE SE IMPORTAN 33 BULTOS CON UN PESO DE 1,247.83 KG,LA PRESENTE OPERACION SE RELACI|1|2025-11-14 16:09:03|
1925|5700217|160|2|DE CONFORMIDAD CON EL ARTICULO 36 DE LA LEY ADUANERA EN VIGOR Y ASI COMO LO DISPUESTO EN LAS REGLAS DE CARACTER GENERAL|1|2025-11-13 09:58:01|
1925|5700199|160|5|LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 1RA. OPERACION DE LA QUE SE IMPORTAN 2|1|2025-11-13 10:23:01|
1925|5700214|160|6|OPERACION DE LA QUE SE IMPORTAN 10 BULTOS, CON UN PESO DE 10,400.84 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA|1|2025-11-12 18:15:01|
1925|5700202|160|4|EMPAQUE-IMMEX-PROSECEL CONTENEDOR: EGSU1133133 SE DESPACHA CON NUMERO DE SELLO: EMCWEB5287.DE CONFORMIDAD CON EL|1|2025-11-13 10:26:04|
1925|5700238|160|2|DE CONFORMIDAD CON EL ARTICULO 36 DE LA LEY ADUANERA EN VIGOR Y ASI COMO LO DISPUESTO EN LAS REGLAS DE CARACTER GENERAL|1|2025-11-13 14:41:01|
1925|5700217|160|5|LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 9NA. OPERACION DE LA QUE SE IMPORTAN 4|1|2025-11-13 09:58:01|
3471|5600859|160|14|PROPORCIONADOS POR EL CLIENTE.|1|2025-11-14 17:16:03|
3471|5600895|160|21|7     RECARGOS     0            N/A  0            N/A            0|2|2025-11-15 11:53:02|
3043|5603479|523|5|NO PAGA DTA CONFORME ART. 49 LEY FEDERAL DE DERECHOS.|1|2025-11-21 12:54:02|
1925|5700241|160|6|2 BULTOS, CON UN PESO DE 46.25 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON|1|2025-11-13 11:22:02|
1925|5700236|160|5|ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 14TA.|1|2025-11-13 10:49:01|
3471|5600860|160|2|-CONOCIMIENTO DE EMBARQUE|1|2025-11-14 16:30:07|
1925|5001389|160|5|CLIENTE.LOS CONTENEDORES: EGHU9411392 Y MAGU5389712 SE DESPACHAN CON NUMEROS DE SELLOS: EMCWCS7154 Y EMCWCS5214|1|2025-11-13 11:32:02|
3471|5600950|160|11|6 3471 5600944, 25 16 3471 5600945, 25 16 3471 5600946, 25 16 3471 5600947, 25 16 3471 5600948 Y 25 16 3471 5600949 DE F|1|2025-11-27 18:19:02|
3471|5600799|160|8|DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL|1|2025-11-14 15:49:03|
3471|5600895|160|16|Clave Contribucion Importe      F.P. Importe      F.P. A Pagar   A Favor|2|2025-11-15 11:53:02|
3471|5600866|160|6|EL CONTENEDOR: TIIU6900473 SE DESPACHA CON NUMERO DE SELLO: EMCWGZ7134|1|2025-11-14 16:09:02|
1925|5700236|160|7|LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-13 10:49:01|
3471|5600862|160|9|IONA CON LOS PEDIMENTOS 25 16 3471 5600858, 25 16 3471 5600859, 25 16 3471 5600860 & 25 16 3471 5600861 DE FECHA 14 DE N|1|2025-11-14 16:48:01|
1925|5700216|160|6|OPERACION DE LA QUE SE IMPORTAN 16 BULTOS, CON UN PESO DE 11,912.14 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA|1|2025-11-12 18:20:01|
3471|5600792|160|10|COMERCIAL, SIENDO ESTA LA PRIMERA OPERACION DE LA QUE SE IMPORTA UN VALOR DE 126,061.49USD.|1|2025-11-14 17:05:01|
1925|5700207|160|4|CONTENEDOR: EISU8475065 SE DESPACHA CON NUMERO DE SELLO: EMCWEC5124.DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE|1|2025-11-13 11:02:03|
3153|5000830|800|1|IMPORTACION AL AMPARO DEL PROGRAMA IMMEX DE CONFORMIDAD CON EL ART. 108 DE LA LEY ADUANERA EN VIGOR IMMEX.482023|1|2025-11-06 14:52:00|
1637|5201476|521|1|OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACION PROPORCIONADOS POR|1|2025-11-06 23:20:01|
3043|5603482|520|5|NO PAGA DTA CONFORME ART. 49 LEY FEDERAL DE DERECHOS.|1|2025-11-20 18:42:00|
1925|5700207|160|6|BULTOS, CON UN PESO DE 2,002.90 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON|1|2025-11-13 11:02:03|
1905|5019086|160|3|SE RELACIONA CON PEDIMENTO DE EXPORTACION NUMERO: 25 67 7604 5501968 DEL EXPORTADOR TRW STEERING WHEEL SYSTEMS DE CHIHUA|1|2025-11-13 17:17:02|
1925|5001388|160|3|EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA|1|2025-11-13 13:04:02|
3471|5600799|160|12|5.|1|2025-11-14 15:49:03|
1925|5700278|160|7|E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-19 09:58:02|
1925|5100825|160|4|3.1.8-FACTURA-IMMEX-PROSECOPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E|1|2025-11-12 16:35:02|
1925|5700216|160|7|LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-12 18:20:01|
1925|5700229|160|5|LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 17MA. OPERACION DE LA QUE SE IMPORTAN|1|2025-11-13 09:40:02|
1925|5700210|160|7|LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-12 17:57:01|
3471|5600799|160|16|PROPORCIONADOS POR EL CLIENTE.|1|2025-11-14 15:49:03|
3471|5600866|160|10|6 3471 5600860,25 16 3471 560086125 16 3471 56008602,25 16 3471 5600863,25 16 3471 5600864,25 16 3471 5600865 DE FECHA 1|1|2025-11-14 16:09:02|
1925|5700215|160|5|LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 7MA. OPERACION DE LA QUE SE IMPORTAN 3|1|2025-11-12 18:20:01|
3471|5600864|160|10|6 3471 5600860,25 16 3471 5600861,25 16 3471 56008602,25 16 3471 5600863 DE FECHA 14 DE NOVIEMBRE DE 2025.|1|2025-11-14 16:48:03|
3471|5600865|160|10|3471 5600860,25 16 3471 5600861,25 16 3471 56008602,25 16 3471 5600863,25 16 3471 5600864 DE 14 DE NOVIEMBRE DE 2025.|1|2025-11-14 16:48:02|
1925|5100824|160|7|SUBDIVIDE DE CONFORMIDAD CON EL ART.65 DEL REGLAMENTO DELA LEY ADUANERA, SIENDO ESTA LA 2DA. SUBDIVISION DE 10|1|2025-11-12 16:35:04|
3471|5600893|160|13|ACIONA CON LOS PEDIMENTOS 25 16 3471 5600891,25 16 3471 5600892, 25 16 3471 5600894, DE FECHA 21 DE NOVIEMBRE DE 2025.|1|2025-11-21 23:57:02|
1925|5100829|160|5|INFORMACIONPROPORCIONADOS POR EL CLIENTE.LOS CONTENEDORES: EGHU9202448 - EGHU9413163 SE DESPACHAN CON NUMEROS DE SELLOS:|1|2025-11-12 16:35:03|
1925|5001394|160|5|INFORMACIONPROPORCIONADOS POR EL CLIENTE.LOS CONTENEDORES: TLLU5840812 Y SKIU9100055 SE DESPACHAN CON NUMEROS DE SELLOS:|1|2025-11-13 11:32:07|
3471|5600794|160|4|-LISTA DE EMPAQUE|1|2025-11-14 15:50:01|
1925|5100827|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-12 16:35:05|
1925|5700320|160|4|EMPAQUE-IMMEX -PROSECEL CONTENEDOR: TXGU5549223 SE DESPACHA CON NUMERO DE SELLO: EMCWGZ9574DE CONFORMIDAD CON EL|1|2025-11-28 11:22:01|
1925|5001388|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-13 13:04:02|
3471|5600859|160|10|DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE LA FACTURA COMERCIAL, SIENDO E|1|2025-11-14 17:16:03|
1925|5700210|160|4|EMPAQUE-IMMEX-PROSECEL CONTENEDOR: EGHU9358493 SE DESPACHA CON NUMERO DE SELLO: EMCWHB4394.DE CONFORMIDAD CON EL|1|2025-11-12 17:57:01|
3471|5600858|160|4|-LISTA DE EMPAQUE|1|2025-11-14 17:16:03|
1925|5001374|160|8|1RA. SUBDIVISION DE 12 SUBDIVISIONES, TENIENDO RELACIÓN CON LOSPEDIMENTOS 5001375,5001376,5001377,5001378,5001379,|1|2025-11-01 11:06:01|
3471|5600794|160|13|OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACION|1|2025-11-14 15:50:01|
1925|5700201|160|7|E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-13 10:26:03|
3471|5600794|160|6|EL CONTENEDOR: PCIU8494390 SE DESPACHA CON NUMERO DE SELLO: CX0514160|1|2025-11-14 15:50:01|
1925|5100827|160|3|GENERAL EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA|1|2025-11-12 16:35:05|
1925|5100825|160|5|INFORMACIONPROPORCIONADOS POR EL CLIENTE.LOS CONTENEDORES: EMCU8458023 - EGSU6311080 SE DESPACHAN CON NUMEROS DE SELLOS:|1|2025-11-12 16:35:02|
1925|5700288|160|5|REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 3RA. OPERACION DE LA QUE|1|2025-11-26 17:53:03|
1925|5100828|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-12 16:35:04|
3471|5600794|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2025-11-14 15:50:01|
3471|5600860|160|7|DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE SI|1|2025-11-14 16:30:07|
1925|5700224|160|5|ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 12DA.|1|2025-11-12 18:26:02|
1925|5700311|160|2|DE CONFORMIDAD CON EL ARTICULO 36 DE LA LEY ADUANERA EN VIGOR Y ASI COMO LO DISPUESTO EN LAS REGLAS DE CARACTER GENERAL|1|2025-11-28 11:14:06|
1925|5001374|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-01 11:06:01|
1925|5700238|160|7|LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-13 14:41:01|
1925|5700204|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-13 10:37:02|
1925|5100826|160|9|5100831,5100832,|1|2025-11-12 16:35:01|
3471|5600863|160|13|NTOS 25 16 3471 5600863 DE FECHA 14 DE NOVIEMBRE DE 2025.|1|2025-11-14 16:10:03|
1925|5100832|160|8|SUBDIVISIONES, TENIENDO RELACIÓN CON LOSPEDIMENTOS 5100823,5100824,5100825,5100826,5100827,5100828,5100829,5100830,|1|2025-11-12 16:40:01|
1925|5700231|160|3|EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA 3.1.8-FACTURA-LISTA DE EMPAQUEEL|1|2025-11-13 09:49:02|
1925|5700204|160|7|LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-13 10:37:02|
1925|5001391|160|7|SUBDIVIDE DE CONFORMIDAD CON EL ART.65 DEL REGLAMENTO DELA LEY ADUANERA, SIENDO ESTA LA 6TA. SUBDIVISION DE 10|1|2025-11-13 11:32:03|
1925|5100826|160|6|OPERACION DE LA QUE SE IMPORTAN 2 BULTOS, CON UN PESO DE 2,664.00 KGSEL CONOCIMIENTO DE EMBARQUE EGLV143559585404 SE|1|2025-11-12 16:35:01|
1925|5100858|160|7|EMBARQUE EGLV143574065734 SE SUBDIVIDE DE CONFORMIDAD CON EL ART.65 DEL REGLAMENTO DELA LEY ADUANERA, SIENDO ESTA LA|1|2025-11-19 11:48:01|
1925|5700231|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-13 09:49:02|
1637|5201476|521|4|EGLAS 3.1.8 Y 1.9.18 DE LAS GENERALES DE COMERCIO EXTERIOR VIGENTES|1|2025-11-06 23:20:01|
3471|5600865|160|7|DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL|1|2025-11-14 16:48:02|
3471|5600795|160|8|CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA TERCERA OPERACION DE LA QUE SE IMPORTAN 5 BULTOS, CON UN|1|2025-11-14 15:49:02|
1925|5700364|160|6|1 BULTOS, CON UN PESO DE 13.51 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON|1|2025-11-21 13:25:03|
1925|5700234|160|7|LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-13 10:44:02|
1925|5700210|160|6|OPERACION DE LA QUE SE IMPORTAN 10 BULTOS, CON UN PESO DE 9,850.03 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA|1|2025-11-12 17:57:01|
1925|5700237|160|4|CONTENEDOR: TGBU8038707 SE DESPACHA CON NUMERO DE SELLO: EMCWEB5714.DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE|1|2025-11-13 11:29:01|
3471|5600794|160|2|-CONOCIMIENTO DE EMBARQUE|1|2025-11-14 15:50:01|
3897|5611271|240|1|NO SE COLOCA SELLO FISCAL CONFORME A LA REGLA 1.7.3 DE LAS REGLAS DE COMERCIO EXTERIOR|1|2025-11-03 16:00:09|
1647|5006994|240|4|NO PAGA DTA CONFORME ART. 49 LEY FEDERAL DE DERECHOS|1|2025-11-14 17:36:10|
1925|5700200|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-13 10:25:05|
3471|5600793|160|12|COMERCIAL, SIENDO ESTA LA PRIMERA OPERACION DE LA QUE SE IMPORTA UN VALOR DE 641.28 USD.|1|2025-11-14 15:49:02|
3043|5603321|523|5|PEDIMENTO CONSOLIDADO CONFORME ART. 37 DE LA LEY ADUANERA Y ART. 42 DEL REGLAMENTO DE LA LEY ADUANERA|1|2025-11-10 18:13:01|
3577|5102391|521|1|SEGUNDA Y ULTIMA SUBDIVISION DE GUIA 9697928225, SALEN 2.4 KG DEL MISMO BULTO, SE RELACIONA CON EL PEDIMENTO 5102368, QU|1|2025-11-13 19:28:01|
1925|5700337|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-21 12:23:01|
1925|5700217|160|7|E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-13 09:58:01|
3471|5600858|160|10|DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE LA FACTURA COMERCIAL, SIENDO E|1|2025-11-14 17:16:03|
1925|5100825|160|2|DE CONFORMIDAD CON EL ARTICULO 36, 36-A DE LA LEY ADUANERA EN VIGOR Y ASI COMO LO DISPUESTO EN LAS REGLAS DE CARACTER|1|2025-11-12 16:35:02|
1925|5100831|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-12 16:35:03|
3471|5600951|160|12|HA XX DE PENDIENTE DE 2025.|1|2025-11-27 17:47:14|
1925|5700212|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-12 18:08:01|
3043|5603322|520|1|DESTINATARIO CFMOTO POWERSPORTS INC|1|2025-11-10 18:03:00|
3471|5600794|160|9|PESO DE 20,401.64 KG, LA PRESENTE OPERACION SE RELACIONA CON LOS PEDIMENTOS 25 16 3471 560792,25 16|1|2025-11-14 15:50:01|
3471|5600860|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2025-11-14 16:30:07|
1925|5700234|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-13 10:44:02|
1925|5001391|160|8|SUBDIVISIONES, TENIENDO RELACIÓN CON LOSPEDIMENTOS 5001386,5001387,5001388,5001389,5001390,5001392,5001393,5001394,|1|2025-11-13 11:32:03|
1905|5017408|160|1|OPERACION VIRTUAL AL AMPARO DEL ARTICULO 112 Y 105 DE LA LEY ADUANERA Y CON LAS REGLAS GENERALES DE COMERCIO EXTERIOR 4.|1|2025-11-14 18:36:06|
1647|5006994|240|3|PEDIMENTO CONSOLIDADO CONFORME ART. 37 DE LA LEY ADUANERA Y ART. 42 DEL REGLAMENTO DE LA LEY ADUANERA|1|2025-11-14 17:36:10|
3471|5600859|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2025-11-14 17:16:03|
1925|5700232|160|2|DE CONFORMIDAD CON EL ARTICULO 36 DE LA LEY ADUANERA EN VIGOR Y ASI COMO LO DISPUESTO EN LAS REGLAS DE CARACTER GENERAL|1|2025-11-13 09:50:05|
1925|5700350|160|4|EMPAQUE-PROSEC-IMMEXEL CONTENEDOR: TXGU5766661 SE DESPACHA CON NUMERO DE SELLO: EMCWHA0474DE CONFORMIDAD CON EL ARTICULO|1|2025-11-24 13:18:02|
1905|5019086|160|15|EMBARCADO DESDE: TRW STEERING WHEEL SYSTEMS DE CHIHUAHUA S. DE R.L DE C.V.|1|2025-11-13 17:17:02|
1925|5700203|160|3|EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA 3.1.8-FACTURA-LISTA DE EMPAQUEEL|1|2025-11-13 10:28:03|
1925|5700229|160|7|E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2025-11-13 09:40:02|
3471|5600727|160|3|-FACTURA COMERCIAL|1|2025-11-13 09:40:06|
1925|5700275|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-19 09:51:01|
1925|5100826|160|4|DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL|1|2025-11-12 16:35:01|
1925|5100881|160|10|DICE: 2,214.01PESO BRUTO DEBE DECIR: 2,214.00|2|2025-11-01 08:54:00|
1905|5017408|160|12|CONSIGNATARIO: CFMOTO MEXICO POWER, S. DE R.L. DE C.V.|1|2025-11-14 18:36:06|
1925|5700199|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|1|2025-11-13 10:23:01|
1925|5700203|160|4|CONTENEDOR: EGSU9770396 SE DESPACHA CON NUMERO DE SELLO: EMCWEB5964.DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE|1|2025-11-13 10:28:03|
1925|5700226|160|5|ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE EL CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA 14TA.|1|2025-11-12 18:32:01|
3043|5603395|520|3|SE DECLARAN LOS NUMEROS DE COVE (S) CONFORME A LA RGCE 1.9.17 EN VIGOR|1|2025-11-11 18:09:01|
1925|5001395|160|8|SUBDIVISIONES, TENIENDO RELACIÓN CON LOSPEDIMENTOS 5001386,5001387,5001388,5001389,5001390,5001391,5001392,5001393,|1|2025-11-13 11:32:04|
1925|5100831|160|7|EMBARQUE EGLV143559585404 SE SUBDIVIDE DE CONFORMIDAD CON EL ART.65 DEL REGLAMENTO DELA LEY ADUANERA, SIENDO ESTA LA|1|2025-11-12 16:35:03|
1925|5700226|160|6|OPERACION DE LA QUE SE IMPORTAN 9 BULTOS, CON UN PESO DE 11,632.92 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA|1|2025-11-12 18:32:01|
3471|5600858|160|3|-FACTURA COMERCIAL|1|2025-11-14 17:16:03|
1905|5017408|160|6|DOMICILIO: CALLE PRODUCTIVIDAD NO. 206, COL. VYNMSA APODACA INDUSTRIAL PARK, APODACA, NUEVO LEÓN C.P. 66628|1|2025-11-14 18:36:06|
1925|5700236|160|6|OPERACION DE LA QUE SE IMPORTAN 10 BULTOS, CON UN PESO DE 10854.43 KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA|1|2025-11-13 10:49:01|
