Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
3178|6000539|160|2|2026-01-16|2026-01-16 17:25:05|
3178|6000237|160|2|2026-01-16|2026-01-16 20:15:01|
1925|6000045|160|1|2026-01-18|2026-01-22 14:06:03|
3471|6400121|160|1|2025-12-29|2026-01-05 12:21:00|
3471|6400050|160|2|2026-01-07|2026-01-07 17:58:03|
1925|6700024|160|1|2025-12-15|2026-01-13 10:50:03|
3471|6400059|160|2|2026-01-08|2026-01-08 15:17:02|
3471|6400201|160|2|2026-01-28|2026-01-28 23:25:01|
3471|6400180|160|2|2026-01-16|2026-01-16 10:11:02|
1925|6000113|160|2|2026-01-29|2026-01-29 11:24:03|
3471|6400214|160|2|2026-01-20|2026-01-20 16:17:03|
3471|6400218|160|2|2026-01-19|2026-01-19 18:01:02|
1614|6000085|160|1|2026-01-16|2026-01-20 11:18:03|
3471|6400124|160|2|2026-01-19|2026-01-19 15:06:02|
3043|6600096|523|5|2026-01-12|2026-01-19 18:33:01|
1614|6000092|160|2|2026-01-19|2026-01-19 17:38:06|
3471|6400096|160|1|2026-01-12|2026-01-15 09:00:04|
3043|6000223|523|1|2026-01-26|2026-01-27 16:17:01|
3471|6400123|160|1|2025-12-29|2026-01-05 12:14:03|
3471|6400069|160|2|2026-01-09|2026-01-09 11:58:02|
3471|6400048|160|2|2026-01-07|2026-01-07 14:59:03|
1614|6000079|160|1|2026-01-16|2026-01-20 11:17:05|
1925|6000052|160|1|2026-01-18|2026-01-22 14:05:02|
3471|6400193|160|2|2026-01-28|2026-01-28 23:25:03|
3471|6400086|160|1|2026-01-06|2026-01-08 17:14:04|
1614|6000069|160|1|2026-01-06|2026-01-07 20:03:00|
3471|6400096|160|2|2026-01-15|2026-01-15 09:00:04|
3178|6000515|160|2|2026-01-13|2026-01-13 21:53:00|
1925|6000115|160|1|2026-01-21|2026-01-29 11:23:04|
3178|6000240|160|1|2026-01-06|2026-01-15 18:27:05|
3471|6400149|160|1|2025-12-29|2026-01-02 16:54:02|
3178|6000539|160|1|2026-01-06|2026-01-16 17:25:05|
1925|6000048|160|2|2026-01-22|2026-01-22 14:05:03|
3471|6400074|160|1|2026-01-06|2026-01-08 11:02:04|
3178|6000235|160|2|2026-01-15|2026-01-15 20:38:02|
1925|6000119|160|2|2026-01-29|2026-01-29 11:46:00|
3178|6000233|160|1|2026-01-06|2026-01-15 20:38:02|
3471|6400044|160|2|2026-01-07|2026-01-07 16:14:05|
3471|6000246|160|2|2026-01-28|2026-01-28 12:50:05|
3471|6400101|160|1|2026-01-12|2026-01-15 09:13:03|
3178|6000737|160|2|2026-01-22|2026-01-22 11:22:02|
1614|6000514|160|1|2026-01-21|2026-01-28 13:34:06|
3577|6300023|521|1|2025-12-29|2026-01-06 10:23:01|
3471|6400251|160|1|2026-01-21|2026-01-28 14:24:03|
3471|6400179|160|1|2026-01-14|2026-01-16 10:11:04|
3471|6400017|160|2|2026-01-08|2026-01-08 11:16:03|
1614|6000072|160|1|2026-01-06|2026-01-07 20:04:00|
3178|6000519|160|2|2026-01-13|2026-01-13 22:28:01|
3178|6000917|160|1|2026-01-16|2026-01-23 13:03:05|
3178|6000910|160|1|2026-01-16|2026-01-23 18:25:03|
1925|6000041|160|1|2026-01-18|2026-01-22 14:06:02|
3178|6000238|160|1|2026-01-06|2026-01-15 18:27:05|
1925|6100023|160|2|2026-01-22|2026-01-22 11:56:01|
3471|6400211|160|2|2026-01-17|2026-01-17 11:17:03|
3178|6000872|160|2|2026-01-22|2026-01-22 14:02:04|
1614|6000093|160|1|2026-01-16|2026-01-19 17:38:05|
3043|6000064|523|1|2026-01-06|2026-01-07 16:40:01|
3471|6400215|160|2|2026-01-20|2026-01-20 12:39:02|
1614|6000088|160|2|2026-01-19|2026-01-19 17:37:05|
3471|6400089|160|1|2026-01-06|2026-01-08 16:37:02|
3471|6400007|160|2|2026-01-08|2026-01-08 14:48:02|
3178|6000972|160|1|2026-01-16|2026-01-24 12:02:13|
1614|6000510|160|2|2026-01-28|2026-01-28 13:34:06|
3471|6400098|160|2|2026-01-15|2026-01-15 09:13:02|
3471|6400020|160|1|2025-12-29|2026-01-02 19:42:02|
3043|6000223|523|2|2026-01-27|2026-01-27 16:17:01|
3471|6400102|160|1|2026-01-12|2026-01-14 11:08:04|
3471|6400237|160|1|2026-01-20|2026-01-22 15:02:01|
3471|6400195|160|1|2026-01-21|2026-01-28 23:25:02|
3471|6400256|160|2|2026-01-28|2026-01-28 14:25:02|
3471|6400149|160|2|2026-01-02|2026-01-02 16:54:02|
3471|6400256|160|1|2026-01-21|2026-01-28 14:25:02|
3471|6400381|160|2|2026-01-30|2026-01-30 09:49:05|
3471|6400101|160|2|2026-01-15|2026-01-15 09:13:03|
3471|6400448|160|1|2025-12-29|2026-01-31 10:44:02|
3471|6400120|160|2|2026-01-05|2026-01-05 12:21:05|
3471|6400254|160|1|2026-01-21|2026-01-22 17:27:05|
3471|6400068|160|2|2026-01-09|2026-01-09 11:57:01|
3471|6400178|160|2|2026-01-16|2026-01-16 10:11:03|
3471|6400129|160|1|2025-12-29|2026-01-02 16:00:06|
3471|6400085|160|1|2026-01-06|2026-01-08 17:14:07|
3471|6400004|160|2|2026-01-08|2026-01-08 11:02:04|
1647|6004627|240|2|2026-01-30|2026-01-30 19:58:02|
3577|6300120|521|2|2026-01-26|2026-01-26 14:38:00|
